3	10	0
5	10	0
10	10	0
3	20	0
5	20	0
10	20	0
3	30	0
5	30	0
10	30	0
3	10	1
5	10	1
10	10	1
3	20	1
5	20	1
10	20	1
3	30	1
5	30	1
10	30	1
3	10	2
5	10	2
10	10	2
3	20	2
5	20	2
10	20	2
3	30	2
5	30	2
10	30	2
3	10	3
5	10	3
10	10	3
3	20	3
5	20	3
10	20	3
3	30	3
5	30	3
10	30	3
3	10	4
5	10	4
10	10	4
3	20	4
5	20	4
10	20	4
3	30	4
5	30	4
10	30	4
3	10	5
5	10	5
10	10	5
3	20	5
5	20	5
10	20	5
3	30	5
5	30	5
10	30	5
3	10	6
5	10	6
10	10	6
3	20	6
5	20	6
10	20	6
3	30	6
5	30	6
10	30	6
3	10	7
5	10	7
10	10	7
3	20	7
5	20	7
10	20	7
3	30	7
5	30	7
10	30	7
3	10	8
5	10	8
10	10	8
3	20	8
5	20	8
10	20	8
3	30	8
5	30	8
10	30	8
3	10	9
5	10	9
10	10	9
3	20	9
5	20	9
10	20	9
3	30	9
5	30	9
10	30	9
3	10	10
5	10	10
10	10	10
3	20	10
5	20	10
10	20	10
3	30	10
5	30	10
10	30	10

